facility_id,facility_name,orgunitid,lga_id,lga_name,cluster_id,cluster_name,product_id,product_name,date,total_used,HTS3e,HTS3e(Pos),VT1,VT1(Pos),YP2,YP2(Pos),KP_CTRR,KP_CTRR(Pos),total_dhis2,tested_comparison
150.0,An Ukpo Comprehensive Health Centre,MUq9oPoC0hr,9.0,Dunukofia,4.0,Awka,,,2025-10-10,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,-61.0
355.0,An Umunze Immaculate Heart Hospital,MUumX5cjk9g,21.0,Orumba South,1.0,Aguata,,,2025-10-02,0.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,11.0,-11.0
355.0,An Umunze Immaculate Heart Hospital,MUumX5cjk9g,21.0,Orumba South,1.0,Aguata,,,2025-10-08,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,-15.0
355.0,An Umunze Immaculate Heart Hospital,MUumX5cjk9g,21.0,Orumba South,1.0,Aguata,,,2025-10-09,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,-44.0
355.0,An Umunze Immaculate Heart Hospital,MUumX5cjk9g,21.0,Orumba South,1.0,Aguata,,,2025-10-10,0.0,0.0,0.0,1.0,0.0,60.0,0.0,0.0,0.0,61.0,-61.0
355.0,An Umunze Immaculate Heart Hospital,MUumX5cjk9g,21.0,Orumba South,1.0,Aguata,,,2025-10-11,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,-55.0
366.0,An Ogbunike Primary Health Centre,MsWUEiTxyht,22.0,Oyi,2.0,Omambala,,,2025-10-01,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0
366.0,An Ogbunike Primary Health Centre,MsWUEiTxyht,22.0,Oyi,2.0,Omambala,,,2025-10-02,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-7.0
366.0,An Ogbunike Primary Health Centre,MsWUEiTxyht,22.0,Oyi,2.0,Omambala,,,2025-10-06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
366.0,An Ogbunike Primary Health Centre,MsWUEiTxyht,22.0,Oyi,2.0,Omambala,,,2025-10-08,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0
366.0,An Ogbunike Primary Health Centre,MsWUEiTxyht,22.0,Oyi,2.0,Omambala,,,2025-10-09,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
